frecuencia,angulo,longitud,velocidad,espesor,presion,const
800,0,0.3,71.3,0,126.2,1
1000,0,0.3,71.3,0,125.2,1
1250,0,0.3,71.3,0,125.95,1
1600,0,0.3,71.3,0,127.59,1
2000,0,0.3,71.3,0,127.46,1
2500,0,0.3,71.3,0,125.57,1
3150,0,0.3,71.3,0,125.2,1
4000,0,0.3,71.3,0,123.06,1
5000,0,0.3,71.3,0,121.3,1
6300,0,0.3,71.3,0,119.54,1
8000,0,0.3,71.3,0,117.15,1
10000,0,0.3,71.3,0,115.39,1
12500,0,0.3,71.3,0,112.24,1
16000,0,0.3,71.3,0,108.72,1
500,0,0.3,55.5,0,126.42,1
630,0,0.3,55.5,0,127.7,1
800,0,0.3,55.5,0,128.09,1
1000,0,0.3,55.5,0,126.97,1
1250,0,0.3,55.5,0,126.09,1
1600,0,0.3,55.5,0,126.99,1
2000,0,0.3,55.5,0,126.62,1
2500,0,0.3,55.5,0,124.11,1
3150,0,0.3,55.5,0,123.24,1
4000,0,0.3,55.5,0,121.11,1
5000,0,0.3,55.5,0,119.61,1
6300,0,0.3,55.5,0,117.98,1
8000,0,0.3,55.5,0,116.48,1
10000,0,0.3,55.5,0,113.08,1
12500,0,0.3,55.5,0,111.08,1
200,0,0.3,39.6,0,118.13,1
250,0,0.3,39.6,0,119.32,1
315,0,0.3,39.6,0,122.78,1
400,0,0.3,39.6,0,124.81,1
500,0,0.3,39.6,0,126.96,1
630,0,0.3,39.6,0,128.63,1
800,0,0.3,39.6,0,129.1,1
1000,0,0.3,39.6,0,127.9,1
1250,0,0.3,39.6,0,125.5,1
1600,0,0.3,39.6,0,124.05,1
2000,0,0.3,39.6,0,123.69,1
2500,0,0.3,39.6,0,121.4,1
3150,0,0.3,39.6,0,120.32,1
4000,0,0.3,39.6,0,119.23,1
5000,0,0.3,39.6,0,117.79,1
6300,0,0.3,39.6,0,116.23,1
8000,0,0.3,39.6,0,114.78,1
10000,0,0.3,39.6,0,112.14,1
12500,0,0.3,39.6,0,109.62,1
200,0,0.3,31.7,0,117.2,1
250,0,0.3,31.7,0,118.6,1
315,0,0.3,31.7,0,122.77,1
400,0,0.3,31.7,0,125.05,1
500,0,0.3,31.7,0,127.32,1
630,0,0.3,31.7,0,129.1,1
800,0,0.3,31.7,0,129.24,1
1000,0,0.3,31.7,0,127.37,1
1250,0,0.3,31.7,0,124.36,1
1600,0,0.3,31.7,0,122.37,1
2000,0,0.3,31.7,0,122.38,1
2500,0,0.3,31.7,0,120.76,1
3150,0,0.3,31.7,0,119.14,1
4000,0,0.3,31.7,0,118.15,1
5000,0,0.3,31.7,0,115.65,1
6300,0,0.3,31.7,0,113.78,1
8000,0,0.3,31.7,0,110.52,1
10000,0,0.3,31.7,0,108.27,1
800,1.5,0.3,71.3,0,127.12,1
1000,1.5,0.3,71.3,0,125.99,1
1250,1.5,0.3,71.3,0,125.87,1
1600,1.5,0.3,71.3,0,126.63,1
2000,1.5,0.3,71.3,0,126.64,1
2500,1.5,0.3,71.3,0,124.51,1
3150,1.5,0.3,71.3,0,123.39,1
4000,1.5,0.3,71.3,0,121.76,1
5000,1.5,0.3,71.3,0,119.63,1
6300,1.5,0.3,71.3,0,118.12,1
8000,1.5,0.3,71.3,0,115.37,1
10000,1.5,0.3,71.3,0,113.49,1
12500,1.5,0.3,71.3,0,109.22,1
16000,1.5,0.3,71.3,0,106.58,1
315,1.5,0.3,39.6,0,121.85,1
400,1.5,0.3,39.6,0,124,1
500,1.5,0.3,39.6,0,126.66,1
630,1.5,0.3,39.6,0,128.31,1
800,1.5,0.3,39.6,0,128.83,1
1000,1.5,0.3,39.6,0,127.58,1
1250,1.5,0.3,39.6,0,125.21,1
1600,1.5,0.3,39.6,0,122.21,1
2000,1.5,0.3,39.6,0,122.1,1
2500,1.5,0.3,39.6,0,120.98,1
3150,1.5,0.3,39.6,0,119.11,1
4000,1.5,0.3,39.6,0,117.74,1
5000,1.5,0.3,39.6,0,116.24,1
6300,1.5,0.3,39.6,0,114.75,1
8000,1.5,0.3,39.6,0,112.25,1
10000,1.5,0.3,39.6,0,108.99,1
12500,1.5,0.3,39.6,0,106.11,1
400,3,0.3,71.3,0,127.56,1
500,3,0.3,71.3,0,128.45,1
630,3,0.3,71.3,0,129.35,1
800,3,0.3,71.3,0,129.49,1
1000,3,0.3,71.3,0,129,1
1250,3,0.3,71.3,0,127.63,1
1600,3,0.3,71.3,0,126.51,1
2000,3,0.3,71.3,0,125.52,1
2500,3,0.3,71.3,0,124.02,1
3150,3,0.3,71.3,0,121.51,1
4000,3,0.3,71.3,0,120.26,1
5000,3,0.3,71.3,0,118.13,1
6300,3,0.3,71.3,0,116.13,1
8000,3,0.3,71.3,0,114.63,1
10000,3,0.3,71.3,0,110.22,1
400,3,0.3,55.5,0,126.16,1
500,3,0.3,55.5,0,128.18,1
630,3,0.3,55.5,0,129.57,1
800,3,0.3,55.5,0,129.95,1
1000,3,0.3,55.5,0,129.33,1
1250,3,0.3,55.5,0,127.33,1
1600,3,0.3,55.5,0,124.44,1
2000,3,0.3,55.5,0,123.07,1
2500,3,0.3,55.5,0,122.44,1
3150,3,0.3,55.5,0,120.19,1
4000,3,0.3,55.5,0,118.69,1
5000,3,0.3,55.5,0,117.31,1
6300,3,0.3,55.5,0,115.68,1
8000,3,0.3,55.5,0,113.8,1
10000,3,0.3,55.5,0,112.17,1
315,3,0.3,39.6,0,123.31,1
400,3,0.3,39.6,0,125.47,1
500,3,0.3,39.6,0,127.63,1
630,3,0.3,39.6,0,129.29,1
800,3,0.3,39.6,0,129.55,1
1000,3,0.3,39.6,0,128.31,1
1250,3,0.3,39.6,0,125.8,1
1600,3,0.3,39.6,0,122.78,1
2000,3,0.3,39.6,0,120.53,1
2500,3,0.3,39.6,0,120.16,1
3150,3,0.3,39.6,0,118.92,1
4000,3,0.3,39.6,0,116.79,1
5000,3,0.3,39.6,0,115.79,1
6300,3,0.3,39.6,0,114.04,1
8000,3,0.3,39.6,0,110.65,1
315,3,0.3,31.7,0.01,123.12,1
400,3,0.3,31.7,0.01,125.4,1
500,3,0.3,31.7,0.01,127.55,1
630,3,0.3,31.7,0.01,128.7,1
800,3,0.3,31.7,0.01,128.71,1
1000,3,0.3,31.7,0.01,126.84,1
1250,3,0.3,31.7,0.01,124.84,1
1600,3,0.3,31.7,0.01,122.09,1
2000,3,0.3,31.7,0.01,120.09,1
2500,3,0.3,31.7,0.01,119.6,1
3150,3,0.3,31.7,0.01,118.11,1
4000,3,0.3,31.7,0.01,115.61,1
5000,3,0.3,31.7,0.01,113.86,1
6300,3,0.3,31.7,0.01,109.72,1
250,4,0.3,71.3,0,126.4,1
315,4,0.3,71.3,0,128.18,1
400,4,0.3,71.3,0,129.58,1
500,4,0.3,71.3,0,130.72,1
630,4,0.3,71.3,0,131.62,1
800,4,0.3,71.3,0,131.76,1
1000,4,0.3,71.3,0,131.02,1
1250,4,0.3,71.3,0,129.4,1
1600,4,0.3,71.3,0,126.65,1
2000,4,0.3,71.3,0,124.4,1
2500,4,0.3,71.3,0,123.78,1
3150,4,0.3,71.3,0,121.78,1
4000,4,0.3,71.3,0,119.54,1
5000,4,0.3,71.3,0,117.79,1
6300,4,0.3,71.3,0,116.17,1
8000,4,0.3,71.3,0,113.67,1
10000,4,0.3,71.3,0,110.91,1
12500,4,0.3,71.3,0,107.41,1
250,4,0.3,39.6,0.01,123.54,1
315,4,0.3,39.6,0.01,126.84,1
400,4,0.3,39.6,0.01,128.63,1
500,4,0.3,39.6,0.01,130.17,1
630,4,0.3,39.6,0.01,131.07,1
800,4,0.3,39.6,0.01,130.72,1
1000,4,0.3,39.6,0.01,128.72,1
1250,4,0.3,39.6,0.01,126.34,1
1600,4,0.3,39.6,0.01,123.21,1
2000,4,0.3,39.6,0.01,120.96,1
2500,4,0.3,39.6,0.01,120.23,1
3150,4,0.3,39.6,0.01,118.74,1
4000,4,0.3,39.6,0.01,115.86,1
5000,4,0.3,39.6,0.01,113.73,1
1250,0,0.23,71.3,0,128.14,1
1600,0,0.23,71.3,0,129.13,1
2000,0,0.23,71.3,0,128.24,1
2500,0,0.23,71.3,0,128.35,1
3150,0,0.23,71.3,0,127.83,1
4000,0,0.23,71.3,0,125.82,1
5000,0,0.23,71.3,0,124.3,1
6300,0,0.23,71.3,0,122.04,1
8000,0,0.23,71.3,0,118.02,1
10000,0,0.23,71.3,0,118.13,1
12500,0,0.23,71.3,0,117.62,1
16000,0,0.23,71.3,0,114.98,1
20000,0,0.23,71.3,0,114.47,1
315,0,0.23,55.5,0,119.54,1
400,0,0.23,55.5,0,121.66,1
500,0,0.23,55.5,0,123.78,1
630,0,0.23,55.5,0,126.16,1
800,0,0.23,55.5,0,127.53,1
1000,0,0.23,55.5,0,128.29,1
1250,0,0.23,55.5,0,127.91,1
1600,0,0.23,55.5,0,126.79,1
2000,0,0.23,55.5,0,126.54,1
2500,0,0.23,55.5,0,126.54,1
3150,0,0.23,55.5,0,125.16,1
4000,0,0.23,55.5,0,123.41,1
5000,0,0.23,55.5,0,122.41,1
6300,0,0.23,55.5,0,118.41,1
315,0,0.23,39.6,0,121.06,1
400,0,0.23,39.6,0,123.57,1
500,0,0.23,39.6,0,126.2,1
630,0,0.23,39.6,0,128.71,1
800,0,0.23,39.6,0,130.21,1
1000,0,0.23,39.6,0,130.44,1
1250,0,0.23,39.6,0,129.4,1
1600,0,0.23,39.6,0,127.1,1
2000,0,0.23,39.6,0,125.31,1
2500,0,0.23,39.6,0,125.03,1
3150,0,0.23,39.6,0,124.63,1
4000,0,0.23,39.6,0,123.47,1
5000,0,0.23,39.6,0,122.18,1
6300,0,0.23,39.6,0,117.47,1
315,0,0.23,31.7,0,120.6,1
400,0,0.23,31.7,0,123.64,1
500,0,0.23,31.7,0,126.68,1
630,0,0.23,31.7,0,129.47,1
800,0,0.23,31.7,0,130.73,1
1000,0,0.23,31.7,0,130.6,1
1250,0,0.23,31.7,0,128.81,1
1600,0,0.23,31.7,0,125.63,1
2000,0,0.23,31.7,0,123.46,1
2500,0,0.23,31.7,0,123.45,1
3150,0,0.23,31.7,0,123.45,1
4000,0,0.23,31.7,0,122.04,1
5000,0,0.23,31.7,0,120.51,1
6300,0,0.23,31.7,0,116.82,1
400,2,0.23,71.3,0,125.12,1
500,2,0.23,71.3,0,126.49,1
630,2,0.23,71.3,0,127.36,1
800,2,0.23,71.3,0,128.22,1
1000,2,0.23,71.3,0,128.96,1
1250,2,0.23,71.3,0,128.82,1
1600,2,0.23,71.3,0,127.8,1
2000,2,0.23,71.3,0,126.9,1
2500,2,0.23,71.3,0,127.01,1
3150,2,0.23,71.3,0,126.12,1
4000,2,0.23,71.3,0,124.09,1
5000,2,0.23,71.3,0,122.82,1
6300,2,0.23,71.3,0,120.79,1
8000,2,0.23,71.3,0,116,1
10000,2,0.23,71.3,0,113.09,1
400,2,0.23,55.5,0,122.29,1
500,2,0.23,55.5,0,124.69,1
630,2,0.23,55.5,0,126.84,1
800,2,0.23,55.5,0,128.49,1
1000,2,0.23,55.5,0,129,1
1250,2,0.23,55.5,0,128.76,1
1600,2,0.23,55.5,0,126.75,1
2000,2,0.23,55.5,0,124.61,1
2500,2,0.23,55.5,0,123.86,1
3150,2,0.23,55.5,0,123.74,1
4000,2,0.23,55.5,0,122.23,1
5000,2,0.23,55.5,0,120.47,1
6300,2,0.23,55.5,0,118.71,1
315,2,0.23,39.6,0,120.14,1
400,2,0.23,39.6,0,122.15,1
500,2,0.23,39.6,0,125.16,1
630,2,0.23,39.6,0,127.42,1
800,2,0.23,39.6,0,129.04,1
1000,2,0.23,39.6,0,129.15,1
1250,2,0.23,39.6,0,128.26,1
1600,2,0.23,39.6,0,125.84,1
2000,2,0.23,39.6,0,122.8,1
2500,2,0.23,39.6,0,121.4,1
3150,2,0.23,39.6,0,121.63,1
4000,2,0.23,39.6,0,120.23,1
5000,2,0.23,39.6,0,118.83,1
6300,2,0.23,39.6,0,116.42,1
315,2,0.23,31.7,0,120.15,1
400,2,0.23,31.7,0,123.42,1
500,2,0.23,31.7,0,126.68,1
630,2,0.23,31.7,0,129.06,1
800,2,0.23,31.7,0,130.31,1
1000,2,0.23,31.7,0,130.31,1
1250,2,0.23,31.7,0,128.68,1
1600,2,0.23,31.7,0,125.8,1
2000,2,0.23,31.7,0,123.04,1
2500,2,0.23,31.7,0,121.41,1
3150,2,0.23,31.7,0,121.53,1
4000,2,0.23,31.7,0,120.53,1
5000,2,0.23,31.7,0,118.27,1
6300,2,0.23,31.7,0,115.14,1
500,4,0.23,71.3,0,126.76,1
630,4,0.23,71.3,0,129.04,1
800,4,0.23,71.3,0,130.69,1
1000,4,0.23,71.3,0,131.71,1
1250,4,0.23,71.3,0,131.72,1
1600,4,0.23,71.3,0,129.47,1
2000,4,0.23,71.3,0,126.22,1
2500,4,0.23,71.3,0,124.34,1
3150,4,0.23,71.3,0,124.11,1
4000,4,0.23,71.3,0,121.73,1
5000,4,0.23,71.3,0,121.12,1
6300,4,0.23,71.3,0,118.62,1
8000,4,0.23,71.3,0,112.85,1
10000,4,0.23,71.3,0,113.11,1
12500,4,0.23,71.3,0,114.26,1
16000,4,0.23,71.3,0,112.77,1
20000,4,0.23,71.3,0,109.64,1
400,4,0.23,55.5,0,123.27,1
500,4,0.23,55.5,0,127.31,1
630,4,0.23,55.5,0,129.96,1
800,4,0.23,55.5,0,131.86,1
1000,4,0.23,55.5,0,132.13,1
1250,4,0.23,55.5,0,131.26,1
1600,4,0.23,55.5,0,128.26,1
2000,4,0.23,55.5,0,124.25,1
2500,4,0.23,55.5,0,122.38,1
3150,4,0.23,55.5,0,122.39,1
4000,4,0.23,55.5,0,120.65,1
5000,4,0.23,55.5,0,120.03,1
6300,4,0.23,55.5,0,117.15,1
8000,4,0.23,55.5,0,112.52,1
315,4,0.23,39.6,0,122.23,1
400,4,0.23,39.6,0,123.88,1
500,4,0.23,39.6,0,127.04,1
630,4,0.23,39.6,0,129.58,1
800,4,0.23,39.6,0,130.47,1
1000,4,0.23,39.6,0,129.97,1
1250,4,0.23,39.6,0,128.34,1
1600,4,0.23,39.6,0,125.32,1
2000,4,0.23,39.6,0,121.66,1
2500,4,0.23,39.6,0,119.65,1
3150,4,0.23,39.6,0,120.42,1
4000,4,0.23,39.6,0,119.16,1
5000,4,0.23,39.6,0,117.65,1
6300,4,0.23,39.6,0,114.25,1
8000,4,0.23,39.6,0,113.13,1
250,4,0.23,31.7,0.01,120.19,1
315,4,0.23,31.7,0.01,123.61,1
400,4,0.23,31.7,0.01,126.15,1
500,4,0.23,31.7,0.01,128.94,1
630,4,0.23,31.7,0.01,130.35,1
800,4,0.23,31.7,0.01,130.87,1
1000,4,0.23,31.7,0.01,129.87,1
1250,4,0.23,31.7,0.01,128.12,1
1600,4,0.23,31.7,0.01,125.23,1
2000,4,0.23,31.7,0.01,122.09,1
2500,4,0.23,31.7,0.01,120.21,1
3150,4,0.23,31.7,0.01,120.23,1
4000,4,0.23,31.7,0.01,118.86,1
5000,4,0.23,31.7,0.01,115.97,1
6300,4,0.23,31.7,0.01,112.7,1
400,5.3,0.23,71.3,0.01,127.7,1
500,5.3,0.23,71.3,0.01,129.88,1
630,5.3,0.23,71.3,0.01,131.8,1
800,5.3,0.23,71.3,0.01,133.48,1
1000,5.3,0.23,71.3,0.01,134,1
1250,5.3,0.23,71.3,0.01,133.38,1
1600,5.3,0.23,71.3,0.01,130.46,1
2000,5.3,0.23,71.3,0.01,125.89,1
2500,5.3,0.23,71.3,0.01,123.74,1
3150,5.3,0.23,71.3,0.01,123.12,1
4000,5.3,0.23,71.3,0.01,120.33,1
5000,5.3,0.23,71.3,0.01,118.05,1
6300,5.3,0.23,71.3,0.01,116.92,1
8000,5.3,0.23,71.3,0.01,114.9,1
10000,5.3,0.23,71.3,0.01,111.35,1
250,5.3,0.23,39.6,0.01,127.01,1
315,5.3,0.23,39.6,0.01,129.69,1
400,5.3,0.23,39.6,0.01,131.22,1
500,5.3,0.23,39.6,0.01,132.25,1
630,5.3,0.23,39.6,0.01,132.01,1
800,5.3,0.23,39.6,0.01,129.49,1
1000,5.3,0.23,39.6,0.01,125.58,1
1250,5.3,0.23,39.6,0.01,125.72,1
1600,5.3,0.23,39.6,0.01,123.08,1
2000,5.3,0.23,39.6,0.01,117.91,1
2500,5.3,0.23,39.6,0.01,116.15,1
3150,5.3,0.23,39.6,0.01,118.44,1
4000,5.3,0.23,39.6,0.01,115.8,1
5000,5.3,0.23,39.6,0.01,115.31,1
6300,5.3,0.23,39.6,0.01,112.54,1
200,7.3,0.23,71.3,0.01,138.76,1
250,7.3,0.23,71.3,0.01,139.92,1
315,7.3,0.23,71.3,0.01,139.81,1
400,7.3,0.23,71.3,0.01,139.44,1
500,7.3,0.23,71.3,0.01,136.8,1
630,7.3,0.23,71.3,0.01,133.77,1
800,7.3,0.23,71.3,0.01,130.75,1
1000,7.3,0.23,71.3,0.01,126.84,1
1250,7.3,0.23,71.3,0.01,127.36,1
1600,7.3,0.23,71.3,0.01,125.73,1
2000,7.3,0.23,71.3,0.01,122.71,1
2500,7.3,0.23,71.3,0.01,122.09,1
3150,7.3,0.23,71.3,0.01,120.46,1
4000,7.3,0.23,71.3,0.01,119.21,1
5000,7.3,0.23,71.3,0.01,115.3,1
6300,7.3,0.23,71.3,0.01,115.82,1
200,7.3,0.23,55.5,0.01,135.23,1
250,7.3,0.23,55.5,0.01,136.38,1
315,7.3,0.23,55.5,0.01,136.28,1
400,7.3,0.23,55.5,0.01,135.92,1
500,7.3,0.23,55.5,0.01,133.17,1
630,7.3,0.23,55.5,0.01,130.93,1
800,7.3,0.23,55.5,0.01,128.44,1
1000,7.3,0.23,55.5,0.01,125.19,1
1250,7.3,0.23,55.5,0.01,125.72,1
1600,7.3,0.23,55.5,0.01,123.35,1
2000,7.3,0.23,55.5,0.01,120.35,1
2500,7.3,0.23,55.5,0.01,118.99,1
3150,7.3,0.23,55.5,0.01,117.13,1
4000,7.3,0.23,55.5,0.01,117.28,1
5000,7.3,0.23,55.5,0.01,113.14,1
6300,7.3,0.23,55.5,0.01,111.53,1
200,7.3,0.23,39.6,0.01,130.99,1
250,7.3,0.23,39.6,0.01,131.89,1
315,7.3,0.23,39.6,0.01,132.15,1
400,7.3,0.23,39.6,0.01,132.04,1
500,7.3,0.23,39.6,0.01,130.3,1
630,7.3,0.23,39.6,0.01,128.93,1
800,7.3,0.23,39.6,0.01,126.3,1
1000,7.3,0.23,39.6,0.01,122.54,1
1250,7.3,0.23,39.6,0.01,123.19,1
1600,7.3,0.23,39.6,0.01,121.06,1
2000,7.3,0.23,39.6,0.01,117.81,1
2500,7.3,0.23,39.6,0.01,116.56,1
3150,7.3,0.23,39.6,0.01,114.31,1
4000,7.3,0.23,39.6,0.01,114.08,1
5000,7.3,0.23,39.6,0.01,111.96,1
6300,7.3,0.23,39.6,0.01,110.84,1
200,7.3,0.23,31.7,0.01,128.68,1
250,7.3,0.23,31.7,0.01,130.09,1
315,7.3,0.23,31.7,0.01,130.24,1
400,7.3,0.23,31.7,0.01,130.27,1
500,7.3,0.23,31.7,0.01,128.17,1
630,7.3,0.23,31.7,0.01,126.19,1
800,7.3,0.23,31.7,0.01,123.21,1
1000,7.3,0.23,31.7,0.01,119.1,1
1250,7.3,0.23,31.7,0.01,120.51,1
1600,7.3,0.23,31.7,0.01,119.04,1
2000,7.3,0.23,31.7,0.01,115.31,1
2500,7.3,0.23,31.7,0.01,114.71,1
3150,7.3,0.23,31.7,0.01,113.23,1
4000,7.3,0.23,31.7,0.01,112.64,1
5000,7.3,0.23,31.7,0.01,111.03,1
6300,7.3,0.23,31.7,0.01,110.69,1
800,0,0.15,71.3,0,125.82,1
1000,0,0.15,71.3,0,127.31,1
1250,0,0.15,71.3,0,128.93,1
1600,0,0.15,71.3,0,129.67,1
2000,0,0.15,71.3,0,128.65,1
2500,0,0.15,71.3,0,128.13,1
3150,0,0.15,71.3,0,129.38,1
4000,0,0.15,71.3,0,128.86,1
5000,0,0.15,71.3,0,126.46,1
6300,0,0.15,71.3,0,125.43,1
8000,0,0.15,71.3,0,122.53,1
10000,0,0.15,71.3,0,120.25,1
12500,0,0.15,71.3,0,117.09,1
16000,0,0.15,71.3,0,113.3,1
500,0,0.15,55.5,0,120.57,1
630,0,0.15,55.5,0,123.58,1
800,0,0.15,55.5,0,126.71,1
1000,0,0.15,55.5,0,128.58,1
1250,0,0.15,55.5,0,129.95,1
1600,0,0.15,55.5,0,130.18,1
2000,0,0.15,55.5,0,129.67,1
2500,0,0.15,55.5,0,127.76,1
3150,0,0.15,55.5,0,127.75,1
4000,0,0.15,55.5,0,127.23,1
5000,0,0.15,55.5,0,125.2,1
6300,0,0.15,55.5,0,123.3,1
8000,0,0.15,55.5,0,121.9,1
10000,0,0.15,55.5,0,119.25,1
12500,0,0.15,55.5,0,117.09,1
16000,0,0.15,55.5,0,112.8,1
500,0,0.15,39.6,0,119.51,1
630,0,0.15,39.6,0,124.4,1
800,0,0.15,39.6,0,127.9,1
1000,0,0.15,39.6,0,130.03,1
1250,0,0.15,39.6,0,131.02,1
1600,0,0.15,39.6,0,131.01,1
2000,0,0.15,39.6,0,129.63,1
2500,0,0.15,39.6,0,126.86,1
3150,0,0.15,39.6,0,125.6,1
4000,0,0.15,39.6,0,125.34,1
5000,0,0.15,39.6,0,123.45,1
6300,0,0.15,39.6,0,121.31,1
8000,0,0.15,39.6,0,120.55,1
10000,0,0.15,39.6,0,115.41,1
500,0,0.15,31.7,0,121.62,1
630,0,0.15,31.7,0,126,1
800,0,0.15,31.7,0,129.12,1
1000,0,0.15,31.7,0,130.99,1
1250,0,0.15,31.7,0,131.47,1
1600,0,0.15,31.7,0,130.82,1
2000,0,0.15,31.7,0,128.91,1
2500,0,0.15,31.7,0,125.87,1
3150,0,0.15,31.7,0,124.21,1
4000,0,0.15,31.7,0,123.81,1
5000,0,0.15,31.7,0,122.4,1
6300,0,0.15,31.7,0,119.74,1
8000,0,0.15,31.7,0,117.96,1
630,2.7,0.15,71.3,0,127.4,1
800,2.7,0.15,71.3,0,127.39,1
1000,2.7,0.15,71.3,0,128.77,1
1250,2.7,0.15,71.3,0,130.14,1
1600,2.7,0.15,71.3,0,130.64,1
2000,2.7,0.15,71.3,0,130.11,1
2500,2.7,0.15,71.3,0,128.33,1
3150,2.7,0.15,71.3,0,127.05,1
4000,2.7,0.15,71.3,0,126.53,1
5000,2.7,0.15,71.3,0,124.36,1
6300,2.7,0.15,71.3,0,121.94,1
8000,2.7,0.15,71.3,0,120.53,1
10000,2.7,0.15,71.3,0,116.72,1
12500,2.7,0.15,71.3,0,113.03,1
16000,2.7,0.15,71.3,0,110.36,1
500,2.7,0.15,39.6,0,121.01,1
630,2.7,0.15,39.6,0,125.81,1
